Course ID,Section ID, Course Name,Semester
685,645,DIRECTED STUDIES,2020 Fall
685,646,DIRECTED STUDIES,2020 Fall
685,648,DIRECTED STUDIES,2020 Fall
685,650,DIRECTED STUDIES,2020 Fall
685,659,DIRECTED STUDIES,2020 Fall
685,661,DIRECTED STUDIES,2020 Fall
685,663,DIRECTED STUDIES,2020 Fall
685,664,DIRECTED STUDIES,2020 Fall
685,665,DIRECTED STUDIES,2020 Fall
685,670,DIRECTED STUDIES,2020 Fall
685,675,DIRECTED STUDIES,2020 Fall
685,682,DIRECTED STUDIES,2020 Fall
691,330,RESEARCH,2020 Fall
691,506,RESEARCH: IN-AB,2020 Fall
691,600,RESEARCH,2020 Fall
691,601,RESEARCH,2020 Fall
691,602,RESEARCH,2020 Fall
691,603,RESEARCH,2020 Fall
691,604,RESEARCH,2020 Fall
691,605,RESEARCH,2020 Fall
691,606,RESEARCH,2020 Fall
691,607,RESEARCH,2020 Fall
691,608,RESEARCH,2020 Fall
691,609,RESEARCH,2020 Fall
691,610,RESEARCH,2020 Fall
691,611,RESEARCH,2020 Fall
691,612,RESEARCH,2020 Fall
691,613,RESEARCH,2020 Fall
691,614,RESEARCH,2020 Fall
691,616,RESEARCH,2020 Fall
691,617,RESEARCH,2020 Fall
691,618,RESEARCH,2020 Fall
691,619,RESEARCH,2020 Fall
691,620,RESEARCH,2020 Fall
691,621,RESEARCH,2020 Fall
691,622,RESEARCH,2020 Fall
691,623,RESEARCH,2020 Fall
691,624,RESEARCH,2020 Fall
691,625,RESEARCH,2020 Fall
691,626,RESEARCH,2020 Fall
691,627,RESEARCH,2020 Fall
691,628,RESEARCH,2020 Fall
691,629,RESEARCH,2020 Fall
691,631,RESEARCH,2020 Fall
691,632,RESEARCH,2020 Fall
691,633,RESEARCH,2020 Fall
691,634,RESEARCH,2020 Fall
691,635,RESEARCH,2020 Fall
691,636,RESEARCH,2020 Fall
691,637,RESEARCH,2020 Fall
691,638,RESEARCH,2020 Fall
691,639,RESEARCH,2020 Fall
691,640,RESEARCH,2020 Fall
691,641,RESEARCH,2020 Fall
691,642,RESEARCH,2020 Fall
691,644,RESEARCH,2020 Fall
691,645,RESEARCH,2020 Fall
691,646,RESEARCH,2020 Fall
691,647,RESEARCH,2020 Fall
691,648,RESEARCH,2020 Fall
691,650,RESEARCH,2020 Fall
691,659,RESEARCH,2020 Fall
691,661,RESEARCH,2020 Fall
691,663,RESEARCH,2020 Fall
691,664,RESEARCH,2020 Fall
691,665,RESEARCH,2020 Fall
691,670,RESEARCH,2020 Fall
691,673,RESEARCH,2020 Fall
691,675,RESEARCH,2020 Fall
691,682,RESEARCH,2020 Fall
691,698,RESEARCH,2020 Fall
702,600,LAW &amp; POLICY IN CYBERSECURITY,2020 Fall
706,600,STRUCTURED PROGRAMMING IN C,2020 Fall
708,600,INTRO CPSC CONCEPTS &amp; PROGRAM,2020 Fall
709,600,INTERMD PROG DESIGN DEVEL C++,2020 Fall
735,600,PARALLEL COMPUTING,2020 Fall
